,0
79,"@lillylimm tweeted: RT @dinhohalves1: #Réveillon1964VemAíEEu vou ficar só o Harry Potter https://t.co/1KqCeYIEsc,"
80,"@SPSobreTrilhos tweeted: RT @Will_C_Porfirio: HERNANES SOBRE SEU VÍDEO!

O Hogwarts Express é um trem que liga as áreas dedicadas ao Harry Potter dos parques Univer…,"
81,"@ELSanPabloFC tweeted: RT @Will_C_Porfirio: HERNANES SOBRE SEU VÍDEO!

O Hogwarts Express é um trem que liga as áreas dedicadas ao Harry Potter dos parques Univer…,"
82,"@schuratz tweeted: RT @fernanda172: Além de namorado da Fátima esse aprendiz de Harry Potter já começou mal, recebendo grana de empresa da lava-jato! https://…,"
83,"@CaroliiSouza tweeted: RT @dias_taisa: Harry Potter podia passar o dia inteiro,"
84,"@anauhnana tweeted: RT @sameissue: eu sou o único que nunca assisti harry potter e nem star wars? https://t.co/naDvSld9iJ,"
85,"@pedrinhoutt tweeted: @laraitapary do nada o pior filme de Harry Potter,"
86,"@itnihoran tweeted: @vitoriaexausta @verberenas A maioria que acompanha Harry Potter, na época dá saga era tudo criança/adolescente,"
87,"@gabsf35 tweeted: no meu caso é tudo do harry potter https://t.co/qOQi4534xb,"
88,"@kimthjk tweeted: @fakesgguk tenho 1 de harry Potter e 1 de unicórnio,"
89,"@adaytomona tweeted: RT @LordeVoIdemort: me mandem ideias de tatuagem de harry potter,"
90,"@___halfblood tweeted: RT @Hogwarts_Existe: Quem também queria passar o ano novo no parque do Harry Potter mais não tem nem 2 reais no bolso, me add,"
91,"@MaoRodriguesJ tweeted: Luna melhor personagem de Harry Potter e quem discordar tá errado,"
92,"@pedrostxn tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
93,"@guilherme_aol tweeted: RT @fernanda172: Além de namorado da Fátima esse aprendiz de Harry Potter já começou mal, recebendo grana de empresa da lava-jato! https://…,"
94,"@rytsan tweeted: ok. animais fantasticos e onde eles habitam é um filme melhor que qualquer harry potter poderia ter sido.,"
95,"@honeyybum tweeted: RT @BrunoFabil: ""ah mas só pq a mulher fez ngm gostou de crepusculo"" MEU IRMÃO, eu não gostei pq tem um VAMPIRO que brilha e um CACHORRO pe…,"
96,"@sousa_kaamylla tweeted: Quero uma camisa do Harry Potter alguém se prontifica ?,"
